Year,State,State_clearance,Homicide_count,Homicide_Clearence,month,year
01-1985,Alabama,Alabama Clearances,37,32,1,1985
02-1985,Alabama,Alabama Clearances,24,17,2,1985
03-1985,Alabama,Alabama Clearances,38,27,3,1985
04-1985,Alabama,Alabama Clearances,28,21,4,1985
05-1985,Alabama,Alabama Clearances,32,22,5,1985
06-1985,Alabama,Alabama Clearances,33,24,6,1985
07-1985,Alabama,Alabama Clearances,49,44,7,1985
08-1985,Alabama,Alabama Clearances,26,22,8,1985
09-1985,Alabama,Alabama Clearances,32,30,9,1985
10-1985,Alabama,Alabama Clearances,32,25,10,1985
11-1985,Alabama,Alabama Clearances,27,20,11,1985
12-1985,Alabama,Alabama Clearances,31,30,12,1985
01-1986,Alabama,Alabama Clearances,27,26,1,1986
02-1986,Alabama,Alabama Clearances,38,29,2,1986
03-1986,Alabama,Alabama Clearances,34,31,3,1986
04-1986,Alabama,Alabama Clearances,31,33,4,1986
05-1986,Alabama,Alabama Clearances,38,31,5,1986
06-1986,Alabama,Alabama Clearances,33,33,6,1986
07-1986,Alabama,Alabama Clearances,47,43,7,1986
08-1986,Alabama,Alabama Clearances,28,17,8,1986
09-1986,Alabama,Alabama Clearances,35,36,9,1986
10-1986,Alabama,Alabama Clearances,29,21,10,1986
11-1986,Alabama,Alabama Clearances,19,17,11,1986
12-1986,Alabama,Alabama Clearances,38,32,12,1986
01-1987,Alabama,Alabama Clearances,35,27,1,1987
02-1987,Alabama,Alabama Clearances,26,19,2,1987
03-1987,Alabama,Alabama Clearances,32,30,3,1987
04-1987,Alabama,Alabama Clearances,18,18,4,1987
05-1987,Alabama,Alabama Clearances,36,22,5,1987
06-1987,Alabama,Alabama Clearances,32,20,6,1987
07-1987,Alabama,Alabama Clearances,33,25,7,1987
08-1987,Alabama,Alabama Clearances,33,22,8,1987
09-1987,Alabama,Alabama Clearances,24,18,9,1987
10-1987,Alabama,Alabama Clearances,39,30,10,1987
11-1987,Alabama,Alabama Clearances,37,27,11,1987
12-1987,Alabama,Alabama Clearances,32,26,12,1987
01-1988,Alabama,Alabama Clearances,22,18,1,1988
02-1988,Alabama,Alabama Clearances,35,25,2,1988
03-1988,Alabama,Alabama Clearances,34,27,3,1988
04-1988,Alabama,Alabama Clearances,31,26,4,1988
05-1988,Alabama,Alabama Clearances,28,23,5,1988
06-1988,Alabama,Alabama Clearances,27,23,6,1988
07-1988,Alabama,Alabama Clearances,38,33,7,1988
08-1988,Alabama,Alabama Clearances,37,31,8,1988
09-1988,Alabama,Alabama Clearances,41,35,9,1988
10-1988,Alabama,Alabama Clearances,32,28,10,1988
11-1988,Alabama,Alabama Clearances,25,16,11,1988
12-1988,Alabama,Alabama Clearances,33,24,12,1988
01-1989,Alabama,Alabama Clearances,36,27,1,1989
02-1989,Alabama,Alabama Clearances,18,12,2,1989
03-1989,Alabama,Alabama Clearances,24,23,3,1989
04-1989,Alabama,Alabama Clearances,49,48,4,1989
05-1989,Alabama,Alabama Clearances,35,35,5,1989
06-1989,Alabama,Alabama Clearances,26,22,6,1989
07-1989,Alabama,Alabama Clearances,36,23,7,1989
08-1989,Alabama,Alabama Clearances,37,39,8,1989
09-1989,Alabama,Alabama Clearances,34,33,9,1989
10-1989,Alabama,Alabama Clearances,39,34,10,1989
11-1989,Alabama,Alabama Clearances,27,25,11,1989
12-1989,Alabama,Alabama Clearances,44,33,12,1989
01-1990,Alabama,Alabama Clearances,15,5,1,1990
02-1990,Alabama,Alabama Clearances,20,7,2,1990
03-1990,Alabama,Alabama Clearances,14,8,3,1990
04-1990,Alabama,Alabama Clearances,30,16,4,1990
05-1990,Alabama,Alabama Clearances,10,6,5,1990
06-1990,Alabama,Alabama Clearances,18,7,6,1990
07-1990,Alabama,Alabama Clearances,26,18,7,1990
08-1990,Alabama,Alabama Clearances,20,7,8,1990
09-1990,Alabama,Alabama Clearances,23,10,9,1990
10-1990,Alabama,Alabama Clearances,21,15,10,1990
11-1990,Alabama,Alabama Clearances,14,3,11,1990
12-1990,Alabama,Alabama Clearances,242,18,12,1990
01-1991,Alabama,Alabama Clearances,1,0,1,1991
02-1991,Alabama,Alabama Clearances,1,0,2,1991
03-1991,Alabama,Alabama Clearances,57,43,3,1991
04-1991,Alabama,Alabama Clearances,5,0,4,1991
05-1991,Alabama,Alabama Clearances,2,0,5,1991
06-1991,Alabama,Alabama Clearances,57,43,6,1991
07-1991,Alabama,Alabama Clearances,0,0,7,1991
08-1991,Alabama,Alabama Clearances,0,0,8,1991
09-1991,Alabama,Alabama Clearances,58,43,9,1991
10-1991,Alabama,Alabama Clearances,0,0,10,1991
11-1991,Alabama,Alabama Clearances,0,0,11,1991
12-1991,Alabama,Alabama Clearances,258,186,12,1991
01-1992,Alabama,Alabama Clearances,0,0,1,1992
02-1992,Alabama,Alabama Clearances,0,0,2,1992
03-1992,Alabama,Alabama Clearances,57,38,3,1992
04-1992,Alabama,Alabama Clearances,0,0,4,1992
05-1992,Alabama,Alabama Clearances,0,0,5,1992
06-1992,Alabama,Alabama Clearances,57,38,6,1992
07-1992,Alabama,Alabama Clearances,0,0,7,1992
08-1992,Alabama,Alabama Clearances,0,0,8,1992
09-1992,Alabama,Alabama Clearances,57,38,9,1992
10-1992,Alabama,Alabama Clearances,0,0,10,1992
11-1992,Alabama,Alabama Clearances,0,0,11,1992
12-1992,Alabama,Alabama Clearances,244,184,12,1992
01-1993,Alabama,Alabama Clearances,9,0,1,1993
02-1993,Alabama,Alabama Clearances,5,0,2,1993
03-1993,Alabama,Alabama Clearances,33,0,3,1993
04-1993,Alabama,Alabama Clearances,6,0,4,1993
05-1993,Alabama,Alabama Clearances,11,0,5,1993
06-1993,Alabama,Alabama Clearances,38,0,6,1993
07-1993,Alabama,Alabama Clearances,24,0,7,1993
08-1993,Alabama,Alabama Clearances,17,0,8,1993
09-1993,Alabama,Alabama Clearances,17,0,9,1993
10-1993,Alabama,Alabama Clearances,20,0,10,1993
11-1993,Alabama,Alabama Clearances,21,0,11,1993
12-1993,Alabama,Alabama Clearances,269,0,12,1993
01-1994,Alabama,Alabama Clearances,19,0,1,1994
02-1994,Alabama,Alabama Clearances,18,0,2,1994
03-1994,Alabama,Alabama Clearances,18,0,3,1994
04-1994,Alabama,Alabama Clearances,18,0,4,1994
05-1994,Alabama,Alabama Clearances,19,0,5,1994
06-1994,Alabama,Alabama Clearances,18,0,6,1994
07-1994,Alabama,Alabama Clearances,20,0,7,1994
08-1994,Alabama,Alabama Clearances,20,0,8,1994
09-1994,Alabama,Alabama Clearances,21,0,9,1994
10-1994,Alabama,Alabama Clearances,24,0,10,1994
