State;Homicide_count;year
Alabama;242;1990
Alabama;258;1991
Alabama;244;1992
Alabama;269;1993
Alabama;275;1994
Alabama;262;1995
Alabama;257;1996
Alabama;312;1997
Alabama;232;1998
Alabama;334;1999
Alabama;205;2000
Alabama;253;2001
Alabama;206;2002
Alabama;215;2003
Alabama;190;2004
Alabama;230;2005
Alabama;218;2006
Alabama;259;2007
Alabama;246;2008
Alabama;235;2009
Alabama;166;2010
Alabama;389;1985
Alabama;397;1986
Alabama;377;1987
Alabama;383;1988
Alabama;405;1989
Alabama;453;1990
Alabama;439;1991
Alabama;415;1992
Alabama;470;1993
Alabama;493;1994
Alabama;466;1995
Alabama;438;1996
Alabama;413;1997
Alabama;344;1998
Alabama;339;1999
Alabama;283;2000
Alabama;326;2001
Alabama;280;2002
Alabama;288;2003
Alabama;247;2004
Alabama;308;2005
Alabama;312;2006
Alabama;351;2007
Alabama;336;2008
Alabama;318;2009
Alabama;219;2010
Alabama;296;2011
Alabama;336;2012
Alabama;295;2013
Alabama;269;2014
Alabama;343;2015
Alabama;396;2016
Alabama;397;2017
Alabama;363;2018
Alabama;139;2019
Alabama;241;2020
Alabama;422;2021
Alabama;522;2022
Alabama;502;2023
Alabama;463;2024
Alabama;44;2025
