Countyfips;State;Year;Total Population;White Alone;Black Alone;American Indian or Alaskan Native;Asian Alone;Hawaiian or Pacific Islander Alone;Two or More Races;Not Hispanic;Hispanic
0;U.S.;1990;249622814;209366661.0;30648345.0;2058726.0;7549082.0;;;227049976.0;22572838.0
0;U.S.;1991;252980941;211606011.0;31290743.0;2126968.0;7957219.0;;;229425951.0;23554990.0
0;U.S.;1992;256514224;213945622.0;31979982.0;2202176.0;8386444.0;;;231894879.0;24619345.0
0;U.S.;1993;259918588;216187073.0;32634735.0;2282052.0;8814728.0;;;234141927.0;25776661.0
0;U.S.;1994;263125821;218304774.0;33258981.0;2361078.0;9200988.0;;;236179888.0;26945933.0
0;U.S.;1995;266278393;220384783.0;33847306.0;2441752.0;9604552.0;;;238120592.0;28157801.0
0;U.S.;1996;269394284;222420050.0;34415478.0;2534873.0;10023883.0;;;239930826.0;29463458.0
0;U.S.;1997;272646925;224553464.0;35007679.0;2626475.0;10459307.0;;;241751029.0;30895896.0
0;U.S.;1998;275854104;226648119.0;35594140.0;2726036.0;10885809.0;;;243471239.0;32382865.0
0;U.S.;1999;279040168;228687790.0;36173121.0;2832761.0;11346496.0;;;245102373.0;33937795.0
0;U.S.;2000;282162411;228530479.0;35814706.0;2684491.0;10705839.0;467339.0;3959557.0;246500526.0;35661885.0
0;U.S.;2001;284968955;230049196.0;36263029.0;2769731.0;11182404.0;487476.0;4217119.0;247824859.0;37144096.0
0;U.S.;2002;287625193;231446915.0;36684650.0;2857113.0;11649265.0;507265.0;4479985.0;249007573.0;38617620.0
0;U.S.;2003;290107933;232717191.0;37066096.0;2947575.0;12099525.0;526390.0;4751156.0;250058504.0;40049429.0
0;U.S.;2004;292805298;234120447.0;37510582.0;3044517.0;12542740.0;547317.0;5039695.0;251303923.0;41501375.0
0;U.S.;2005;295516599;235491577.0;37961688.0;3147772.0;13007663.0;568804.0;5339095.0;252492985.0;43023614.0
0;U.S.;2006;298379912;236954818.0;38443048.0;3258666.0;13475846.0;590839.0;5656695.0;253773607.0;44606305.0
0;U.S.;2007;301231207;238378087.0;38935533.0;3377213.0;13934641.0;613053.0;5992680.0;255034354.0;46196853.0
0;U.S.;2008;304093966;239783014.0;39429414.0;3504878.0;14395296.0;635677.0;6345687.0;256300181.0;47793785.0
0;U.S.;2009;306771529;241034399.0;39902270.0;3636766.0;14833733.0;657983.0;6706378.0;257444040.0;49327489.0
0;U.S.;2010;309327143;242228437.0;40358477.0;3753179.0;15266718.0;678440.0;7041892.0;258590899.0;50736244.0
0;U.S.;2011;311583481;243254994.0;40798772.0;3806563.0;15748519.0;694466.0;7280167.0;259758723.0;51824758.0
0;U.S.;2012;313877662;244285201.0;41252211.0;3863383.0;16245413.0;710807.0;7520647.0;261008434.0;52869228.0
0;U.S.;2013;316059947;245205423.0;41690498.0;3917329.0;16754334.0;727665.0;7764698.0;262153137.0;53906810.0
0;U.S.;2014;318386329;246211962.0;42140856.0;3972480.0;17302485.0;743357.0;8015189.0;263407751.0;54978578.0
0;U.S.;2015;320738994;247206396.0;42595215.0;4028249.0;17877492.0;760404.0;8271238.0;264620835.0;56118159.0
0;U.S.;2016;323071755;248203472.0;43041456.0;4083901.0;18435167.0;778383.0;8529376.0;265786268.0;57285487.0
0;U.S.;2017;325122128;248992525.0;43465421.0;4138345.0;18948310.0;796332.0;8781195.0;266719299.0;58402829.0
0;U.S.;2018;326838199;249604563.0;43857361.0;4192206.0;19343982.0;813220.0;9026867.0;267369366.0;59468833.0
0;U.S.;2019;328329953;250065098.0;44224356.0;4243909.0;19705760.0;829060.0;9261770.0;267925466.0;60404487.0
0;U.S.;2020;331577720;251705938.0;44911745.0;4302125.0;20224610.0;851893.0;9581409.0;269339673.0;62238047.0
0;U.S.;2021;332099760;251515682.0;45103997.0;4347090.0;20461635.0;864488.0;9806868.0;269088635.0;63011125.0
0;U.S.;2022;334017321;251993983.0;45503665.0;4436209.0;21113516.0;885908.0;10084040.0;269620602.0;64396719.0
0;U.S.;2023;336806231;253005388.0;46021542.0;4579646.0;21897545.0;911597.0;10390513.0;270664075.0;66142156.0
0;U.S.;2024;340110988;254281598.0;46608846.0;4743298.0;22825008.0;939712.0;10712526.0;272024835.0;68086153.0
0;Alabama;1990;4050055;2987764.0;1024198.0;16224.0;21869.0;;;4025948.0;24107.0
0;Alabama;1991;4099156;3018779.0;1040280.0;17015.0;23082.0;;;4074144.0;25012.0
0;Alabama;1992;4154014;3051680.0;1060627.0;17357.0;24350.0;;;4127269.0;26745.0
0;Alabama;1993;4214202;3088449.0;1081479.0;18002.0;26272.0;;;4184665.0;29537.0
0;Alabama;1994;4260229;3114389.0;1099593.0;18566.0;27681.0;;;4227077.0;33152.0
0;Alabama;1995;4296800;3134093.0;1114033.0;19386.0;29288.0;;;4259532.0;37268.0
0;Alabama;1996;4331103;3154959.0;1125093.0;20493.0;30558.0;;;4288307.0;42796.0
0;Alabama;1997;4367935;3174843.0;1140120.0;21229.0;31743.0;;;4318508.0;49427.0
0;Alabama;1998;4404701;3198040.0;1152248.0;21783.0;32630.0;;;4347802.0;56899.0
0;Alabama;1999;4430141;3211308.0;1162673.0;22666.0;33494.0;;;4364958.0;65183.0
0;Alabama;2000;4452173;3196875.0;1161454.0;23262.0;32544.0;1608.0;36430.0;4375157.0;77016.0
0;Alabama;2001;4467634;3201387.0;1167403.0;24084.0;33971.0;1963.0;38826.0;4381912.0;85722.0
0;Alabama;2002;4480089;3204279.0;1171672.0;24966.0;35810.0;2272.0;41090.0;4385910.0;94179.0
