Countyfips;State;Year;Total Population;White Alone;Black Alone;American Indian or Alaskan Native;Asian Alone;Hawaiian or Pacific Islander Alone;Two or More Races;Not Hispanic;Hispanic
0;U.S.;1990;249622814;209366661;30648345;2058726;7549082;;;227049976;22572838
0;U.S.;1991;252980941;211606011;31290743;2126968;7957219;;;229425951;23554990
0;U.S.;1992;256514224;213945622;31979982;2202176;8386444;;;231894879;24619345
0;U.S.;1993;259918588;216187073;32634735;2282052;8814728;;;234141927;25776661
0;U.S.;1994;263125821;218304774;33258981;2361078;9200988;;;236179888;26945933
0;U.S.;1995;266278393;220384783;33847306;2441752;9604552;;;238120592;28157801
0;U.S.;1996;269394284;222420050;34415478;2534873;10023883;;;239930826;29463458
0;U.S.;1997;272646925;224553464;35007679;2626475;10459307;;;241751029;30895896
0;U.S.;1998;275854104;226648119;35594140;2726036;10885809;;;243471239;32382865
0;U.S.;1999;279040168;228687790;36173121;2832761;11346496;;;245102373;33937795
0;U.S.;2000;282162411;228530479;35814706;2684491;10705839;467339;3959557;246500526;35661885
0;U.S.;2001;284968955;230049196;36263029;2769731;11182404;487476;4217119;247824859;37144096
0;U.S.;2002;287625193;231446915;36684650;2857113;11649265;507265;4479985;249007573;38617620
0;U.S.;2003;290107933;232717191;37066096;2947575;12099525;526390;4751156;250058504;40049429
0;U.S.;2004;292805298;234120447;37510582;3044517;12542740;547317;5039695;251303923;41501375
0;U.S.;2005;295516599;235491577;37961688;3147772;13007663;568804;5339095;252492985;43023614
0;U.S.;2006;298379912;236954818;38443048;3258666;13475846;590839;5656695;253773607;44606305
0;U.S.;2007;301231207;238378087;38935533;3377213;13934641;613053;5992680;255034354;46196853
0;U.S.;2008;304093966;239783014;39429414;3504878;14395296;635677;6345687;256300181;47793785
0;U.S.;2009;306771529;241034399;39902270;3636766;14833733;657983;6706378;257444040;49327489
0;U.S.;2010;309327143;242228437;40358477;3753179;15266718;678440;7041892;258590899;50736244
0;U.S.;2011;311583481;243254994;40798772;3806563;15748519;694466;7280167;259758723;51824758
0;U.S.;2012;313877662;244285201;41252211;3863383;16245413;710807;7520647;261008434;52869228
0;U.S.;2013;316059947;245205423;41690498;3917329;16754334;727665;7764698;262153137;53906810
0;U.S.;2014;318386329;246211962;42140856;3972480;17302485;743357;8015189;263407751;54978578
0;U.S.;2015;320738994;247206396;42595215;4028249;17877492;760404;8271238;264620835;56118159
0;U.S.;2016;323071755;248203472;43041456;4083901;18435167;778383;8529376;265786268;57285487
0;U.S.;2017;325122128;248992525;43465421;4138345;18948310;796332;8781195;266719299;58402829
0;U.S.;2018;326838199;249604563;43857361;4192206;19343982;813220;9026867;267369366;59468833
0;U.S.;2019;328329953;250065098;44224356;4243909;19705760;829060;9261770;267925466;60404487
0;U.S.;2020;331577720;251705938;44911745;4302125;20224610;851893;9581409;269339673;62238047
0;U.S.;2021;332099760;251515682;45103997;4347090;20461635;864488;9806868;269088635;63011125
0;U.S.;2022;334017321;251993983;45503665;4436209;21113516;885908;10084040;269620602;64396719
0;U.S.;2023;336806231;253005388;46021542;4579646;21897545;911597;10390513;270664075;66142156
0;U.S.;2024;340110988;254281598;46608846;4743298;22825008;939712;10712526;272024835;68086153
0;Alabama;1990;4050055;2987764;1024198;16224;21869;;;4025948;24107
0;Alabama;1991;4099156;3018779;1040280;17015;23082;;;4074144;25012
0;Alabama;1992;4154014;3051680;1060627;17357;24350;;;4127269;26745
0;Alabama;1993;4214202;3088449;1081479;18002;26272;;;4184665;29537
0;Alabama;1994;4260229;3114389;1099593;18566;27681;;;4227077;33152
0;Alabama;1995;4296800;3134093;1114033;19386;29288;;;4259532;37268
0;Alabama;1996;4331103;3154959;1125093;20493;30558;;;4288307;42796
0;Alabama;1997;4367935;3174843;1140120;21229;31743;;;4318508;49427
0;Alabama;1998;4404701;3198040;1152248;21783;32630;;;4347802;56899
0;Alabama;1999;4430141;3211308;1162673;22666;33494;;;4364958;65183
