Countyfips;StateCode;State;Year;Total Population
0;;U.S.;1990;249622814
0;;U.S.;1991;252980941
0;;U.S.;1992;256514224
0;;U.S.;1993;259918588
0;;U.S.;1994;263125821
0;;U.S.;1995;266278393
0;;U.S.;1996;269394284
0;;U.S.;1997;272646925
0;;U.S.;1998;275854104
0;;U.S.;1999;279040168
0;;U.S.;2000;282162411
0;;U.S.;2001;284968955
0;;U.S.;2002;287625193
0;;U.S.;2003;290107933
0;;U.S.;2004;292805298
0;;U.S.;2005;295516599
0;;U.S.;2006;298379912
0;;U.S.;2007;301231207
0;;U.S.;2008;304093966
0;;U.S.;2009;306771529
0;;U.S.;2010;309327143
0;;U.S.;2011;311583481
0;;U.S.;2012;313877662
0;;U.S.;2013;316059947
0;;U.S.;2014;318386329
0;;U.S.;2015;320738994
0;;U.S.;2016;323071755
0;;U.S.;2017;325122128
0;;U.S.;2018;326838199
0;;U.S.;2019;328329953
0;;U.S.;2020;331577720
0;;U.S.;2021;332099760
0;;U.S.;2022;334017321
0;;U.S.;2023;336806231
0;;U.S.;2024;340110988
