Countyfips;State;Year;Total Population;StateCode
0;U.S.;1990;249622814;
0;U.S.;1991;252980941;
0;U.S.;1992;256514224;
0;U.S.;1993;259918588;
0;U.S.;1994;263125821;
0;U.S.;1995;266278393;
0;U.S.;1996;269394284;
0;U.S.;1997;272646925;
0;U.S.;1998;275854104;
0;U.S.;1999;279040168;
0;U.S.;2000;282162411;
0;U.S.;2001;284968955;
0;U.S.;2002;287625193;
0;U.S.;2003;290107933;
0;U.S.;2004;292805298;
0;U.S.;2005;295516599;
0;U.S.;2006;298379912;
0;U.S.;2007;301231207;
0;U.S.;2008;304093966;
0;U.S.;2009;306771529;
0;U.S.;2010;309327143;
0;U.S.;2011;311583481;
0;U.S.;2012;313877662;
0;U.S.;2013;316059947;
0;U.S.;2014;318386329;
0;U.S.;2015;320738994;
0;U.S.;2016;323071755;
0;U.S.;2017;325122128;
0;U.S.;2018;326838199;
0;U.S.;2019;328329953;
0;U.S.;2020;331577720;
0;U.S.;2021;332099760;
0;U.S.;2022;334017321;
0;U.S.;2023;336806231;
0;U.S.;2024;340110988;
0;Alabama;1990;4050055;AL
0;Alabama;1991;4099156;AL
0;Alabama;1992;4154014;AL
0;Alabama;1993;4214202;AL
0;Alabama;1994;4260229;AL
0;Alabama;1995;4296800;AL
0;Alabama;1996;4331103;AL
0;Alabama;1997;4367935;AL
0;Alabama;1998;4404701;AL
0;Alabama;1999;4430141;AL
0;Alabama;2000;4452173;AL
0;Alabama;2001;4467634;AL
0;Alabama;2002;4480089;AL
0;Alabama;2003;4503491;AL
0;Alabama;2004;4530729;AL
0;Alabama;2005;4569805;AL
0;Alabama;2006;4628981;AL
0;Alabama;2007;4672840;AL
0;Alabama;2008;4718206;AL
0;Alabama;2009;4757938;AL
0;Alabama;2010;4785514;AL
0;Alabama;2011;4799642;AL
0;Alabama;2012;4816632;AL
0;Alabama;2013;4831586;AL
0;Alabama;2014;4843737;AL
0;Alabama;2015;4854803;AL
0;Alabama;2016;4866824;AL
0;Alabama;2017;4877989;AL
0;Alabama;2018;4891628;AL
0;Alabama;2019;4907965;AL
0;Alabama;2020;5033094;AL
0;Alabama;2021;5049196;AL
0;Alabama;2022;5076181;AL
0;Alabama;2023;5117673;AL
0;Alabama;2024;5157699;AL
0;Alaska;1990;553290;AK
0;Alaska;1991;570193;AK
0;Alaska;1992;588736;AK
0;Alaska;1993;599434;AK
0;Alaska;1994;603308;AK
0;Alaska;1995;604412;AK
0;Alaska;1996;608569;AK
0;Alaska;1997;612968;AK
0;Alaska;1998;619933;AK
0;Alaska;1999;624779;AK
0;Alaska;2000;627963;AK
0;Alaska;2001;633714;AK
0;Alaska;2002;642337;AK
0;Alaska;2003;648414;AK
0;Alaska;2004;659286;AK
0;Alaska;2005;666946;AK
0;Alaska;2006;675302;AK
0;Alaska;2007;680300;AK
0;Alaska;2008;687455;AK
0;Alaska;2009;698895;AK
0;Alaska;2010;713982;AK
0;Alaska;2011;722349;AK
0;Alaska;2012;730810;AK
0;Alaska;2013;737626;AK
0;Alaska;2014;737075;AK
0;Alaska;2015;738430;AK
0;Alaska;2016;742575;AK
0;Alaska;2017;740983;AK
0;Alaska;2018;736624;AK
0;Alaska;2019;733603;AK
0;Alaska;2020;733017;AK
0;Alaska;2021;734420;AK
0;Alaska;2022;734442;AK
0;Alaska;2023;736510;AK
0;Alaska;2024;740133;AK
0;Arizona;1990;3684097;AZ
0;Arizona;1991;3788576;AZ
0;Arizona;1992;3915740;AZ
0;Arizona;1993;4065440;AZ
0;Arizona;1994;4245089;AZ
0;Arizona;1995;4432499;AZ
0;Arizona;1996;4586940;AZ
0;Arizona;1997;4736990;AZ
0;Arizona;1998;4883342;AZ
0;Arizona;1999;5023823;AZ
0;Arizona;2000;5160586;AZ
0;Arizona;2001;5273477;AZ
0;Arizona;2002;5396255;AZ
0;Arizona;2003;5510364;AZ
0;Arizona;2004;5652404;AZ
0;Arizona;2005;5839077;AZ
0;Arizona;2006;6029141;AZ
0;Arizona;2007;6167681;AZ
0;Arizona;2008;6280362;AZ
0;Arizona;2009;6343154;AZ
0;Arizona;2010;6407342;AZ
0;Arizona;2011;6473416;AZ
0;Arizona;2012;6556344;AZ
0;Arizona;2013;6634690;AZ
0;Arizona;2014;6732873;AZ
0;Arizona;2015;6832810;AZ
0;Arizona;2016;6944767;AZ
0;Arizona;2017;7048088;AZ
0;Arizona;2018;7164228;AZ
0;Arizona;2019;7291843;AZ
0;Arizona;2020;7187135;AZ
0;Arizona;2021;7274078;AZ
0;Arizona;2022;7377566;AZ
0;Arizona;2023;7473027;AZ
0;Arizona;2024;7582384;AZ
0;Arkansas;1990;2356586;AR
0;Arkansas;1991;2383144;AR
0;Arkansas;1992;2415984;AR
0;Arkansas;1993;2456303;AR
0;Arkansas;1994;2494019;AR
0;Arkansas;1995;2535399;AR
0;Arkansas;1996;2572109;AR
0;Arkansas;1997;2601091;AR
0;Arkansas;1998;2626289;AR
0;Arkansas;1999;2651860;AR
0;Arkansas;2000;2678588;AR
0;Arkansas;2001;2691571;AR
0;Arkansas;2002;2705927;AR
0;Arkansas;2003;2724816;AR
0;Arkansas;2004;2749686;AR
0;Arkansas;2005;2781097;AR
0;Arkansas;2006;2821761;AR
0;Arkansas;2007;2848650;AR
0;Arkansas;2008;2874554;AR
0;Arkansas;2009;2896843;AR
0;Arkansas;2010;2921998;AR
0;Arkansas;2011;2941038;AR
0;Arkansas;2012;2952876;AR
0;Arkansas;2013;2960459;AR
0;Arkansas;2014;2968759;AR
0;Arkansas;2015;2979732;AR
0;Arkansas;2016;2991815;AR
0;Arkansas;2017;3003855;AR
0;Arkansas;2018;3012161;AR
0;Arkansas;2019;3020985;AR
0;Arkansas;2020;3014546;AR
0;Arkansas;2021;3026870;AR
0;Arkansas;2022;3047704;AR
0;Arkansas;2023;3069463;AR
0;Arkansas;2024;3088354;AR
0;California;1990;29959515;CA
0;California;1991;30470736;CA
0;California;1992;30974659;CA
0;California;1993;31274928;CA
0;California;1994;31484435;CA
0;California;1995;31696582;CA
0;California;1996;32018834;CA
0;California;1997;32486010;CA
0;California;1998;32987675;CA
0;California;1999;33499204;CA
0;California;2000;33987977;CA
0;California;2001;34479458;CA
0;California;2002;34871843;CA
0;California;2003;35253159;CA
0;California;2004;35574576;CA
0;California;2005;35827943;CA
0;California;2006;36021202;CA
0;California;2007;36250311;CA
0;California;2008;36604337;CA
0;California;2009;36961229;CA
0;California;2010;37319550;CA
0;California;2011;37636311;CA
0;California;2012;37944551;CA
0;California;2013;38253768;CA
0;California;2014;38586706;CA
0;California;2015;38904296;CA
0;California;2016;39149186;CA
0;California;2017;39337785;CA
0;California;2018;39437463;CA
0;California;2019;39437610;CA
0;California;2020;39521958;CA
0;California;2021;39142565;CA
0;California;2022;39142414;CA
0;California;2023;39198693;CA
0;California;2024;39431263;CA
0;Colorado;1990;3307618;CO
0;Colorado;1991;3387119;CO
0;Colorado;1992;3495939;CO
0;Colorado;1993;3613734;CO
0;Colorado;1994;3724168;CO
0;Colorado;1995;3826653;CO
0;Colorado;1996;3919972;CO
0;Colorado;1997;4018293;CO
0;Colorado;1998;4116639;CO
0;Colorado;1999;4226018;CO
0;Colorado;2000;4326921;CO
0;Colorado;2001;4425687;CO
0;Colorado;2002;4490406;CO
0;Colorado;2003;4528732;CO
0;Colorado;2004;4575013;CO
0;Colorado;2005;4631888;CO
0;Colorado;2006;4720423;CO
0;Colorado;2007;4803868;CO
0;Colorado;2008;4889730;CO
0;Colorado;2009;4972195;CO
0;Colorado;2010;5047539;CO
0;Colorado;2011;5121900;CO
0;Colorado;2012;5193660;CO
0;Colorado;2013;5270774;CO
0;Colorado;2014;5352637;CO
0;Colorado;2015;5454328;CO
0;Colorado;2016;5543844;CO
0;Colorado;2017;5617421;CO
0;Colorado;2018;5697155;CO
0;Colorado;2019;5758486;CO
0;Colorado;2020;5787129;CO
0;Colorado;2021;5814036;CO
0;Colorado;2022;5850935;CO
0;Colorado;2023;5901339;CO
