Countyfips,State,Year,Total Population
0,U.S.,1990,249622814
0,U.S.,1991,252980941
0,U.S.,1992,256514224
0,U.S.,1993,259918588
0,U.S.,1994,263125821
0,U.S.,1995,266278393
0,U.S.,1996,269394284
0,U.S.,1997,272646925
0,U.S.,1998,275854104
0,U.S.,1999,279040168
0,U.S.,2000,282162411
0,U.S.,2001,284968955
0,U.S.,2002,287625193
0,U.S.,2003,290107933
0,U.S.,2004,292805298
0,U.S.,2005,295516599
0,U.S.,2006,298379912
0,U.S.,2007,301231207
0,U.S.,2008,304093966
0,U.S.,2009,306771529
0,U.S.,2010,309327143
0,U.S.,2011,311583481
0,U.S.,2012,313877662
0,U.S.,2013,316059947
0,U.S.,2014,318386329
0,U.S.,2015,320738994
0,U.S.,2016,323071755
0,U.S.,2017,325122128
0,U.S.,2018,326838199
0,U.S.,2019,328329953
0,U.S.,2020,331577720
0,U.S.,2021,332099760
0,U.S.,2022,334017321
0,U.S.,2023,336806231
0,U.S.,2024,340110988
0,Alabama,1990,4050055
0,Alabama,1991,4099156
0,Alabama,1992,4154014
0,Alabama,1993,4214202
0,Alabama,1994,4260229
0,Alabama,1995,4296800
0,Alabama,1996,4331103
0,Alabama,1997,4367935
0,Alabama,1998,4404701
0,Alabama,1999,4430141
0,Alabama,2000,4452173
0,Alabama,2001,4467634
0,Alabama,2002,4480089
0,Alabama,2003,4503491
0,Alabama,2004,4530729
0,Alabama,2005,4569805
0,Alabama,2006,4628981
0,Alabama,2007,4672840
0,Alabama,2008,4718206
0,Alabama,2009,4757938
0,Alabama,2010,4785514
0,Alabama,2011,4799642
0,Alabama,2012,4816632
0,Alabama,2013,4831586
0,Alabama,2014,4843737
0,Alabama,2015,4854803
0,Alabama,2016,4866824
0,Alabama,2017,4877989
0,Alabama,2018,4891628
0,Alabama,2019,4907965
0,Alabama,2020,5033094
0,Alabama,2021,5049196
0,Alabama,2022,5076181
0,Alabama,2023,5117673
0,Alabama,2024,5157699
0,Alaska,1990,553290
0,Alaska,1991,570193
0,Alaska,1992,588736
0,Alaska,1993,599434
0,Alaska,1994,603308
0,Alaska,1995,604412
0,Alaska,1996,608569
0,Alaska,1997,612968
0,Alaska,1998,619933
0,Alaska,1999,624779
0,Alaska,2000,627963
0,Alaska,2001,633714
0,Alaska,2002,642337
0,Alaska,2003,648414
0,Alaska,2004,659286
0,Alaska,2005,666946
0,Alaska,2006,675302
0,Alaska,2007,680300
0,Alaska,2008,687455
0,Alaska,2009,698895
0,Alaska,2010,713982
0,Alaska,2011,722349
0,Alaska,2012,730810
0,Alaska,2013,737626
0,Alaska,2014,737075
0,Alaska,2015,738430
0,Alaska,2016,742575
0,Alaska,2017,740983
0,Alaska,2018,736624
0,Alaska,2019,733603
0,Alaska,2020,733017
0,Alaska,2021,734420
0,Alaska,2022,734442
0,Alaska,2023,736510
0,Alaska,2024,740133
0,Arizona,1990,3684097
0,Arizona,1991,3788576
0,Arizona,1992,3915740
0,Arizona,1993,4065440
0,Arizona,1994,4245089
0,Arizona,1995,4432499
0,Arizona,1996,4586940
0,Arizona,1997,4736990
0,Arizona,1998,4883342
0,Arizona,1999,5023823
0,Arizona,2000,5160586
0,Arizona,2001,5273477
0,Arizona,2002,5396255
0,Arizona,2003,5510364
0,Arizona,2004,5652404
0,Arizona,2005,5839077
0,Arizona,2006,6029141
0,Arizona,2007,6167681
0,Arizona,2008,6280362
0,Arizona,2009,6343154
0,Arizona,2010,6407342
0,Arizona,2011,6473416
0,Arizona,2012,6556344
0,Arizona,2013,6634690
0,Arizona,2014,6732873
0,Arizona,2015,6832810
0,Arizona,2016,6944767
0,Arizona,2017,7048088
0,Arizona,2018,7164228
0,Arizona,2019,7291843
0,Arizona,2020,7187135
0,Arizona,2021,7274078
0,Arizona,2022,7377566
0,Arizona,2023,7473027
0,Arizona,2024,7582384
0,Arkansas,1990,2356586
0,Arkansas,1991,2383144
0,Arkansas,1992,2415984
0,Arkansas,1993,2456303
0,Arkansas,1994,2494019
0,Arkansas,1995,2535399
0,Arkansas,1996,2572109
0,Arkansas,1997,2601091
0,Arkansas,1998,2626289
0,Arkansas,1999,2651860
0,Arkansas,2000,2678588
0,Arkansas,2001,2691571
0,Arkansas,2002,2705927
0,Arkansas,2003,2724816
0,Arkansas,2004,2749686
0,Arkansas,2005,2781097
0,Arkansas,2006,2821761
0,Arkansas,2007,2848650
0,Arkansas,2008,2874554
0,Arkansas,2009,2896843
0,Arkansas,2010,2921998
0,Arkansas,2011,2941038
0,Arkansas,2012,2952876
0,Arkansas,2013,2960459
0,Arkansas,2014,2968759
0,Arkansas,2015,2979732
0,Arkansas,2016,2991815
0,Arkansas,2017,3003855
0,Arkansas,2018,3012161
0,Arkansas,2019,3020985
0,Arkansas,2020,3014546
0,Arkansas,2021,3026870
0,Arkansas,2022,3047704
0,Arkansas,2023,3069463
0,Arkansas,2024,3088354
0,California,1990,29959515
0,California,1991,30470736
0,California,1992,30974659
0,California,1993,31274928
0,California,1994,31484435
0,California,1995,31696582
0,California,1996,32018834
0,California,1997,32486010
0,California,1998,32987675
0,California,1999,33499204
0,California,2000,33987977
0,California,2001,34479458
0,California,2002,34871843
0,California,2003,35253159
0,California,2004,35574576
0,California,2005,35827943
0,California,2006,36021202
0,California,2007,36250311
0,California,2008,36604337
0,California,2009,36961229
0,California,2010,37319550
0,California,2011,37636311
0,California,2012,37944551
0,California,2013,38253768
0,California,2014,38586706
0,California,2015,38904296
0,California,2016,39149186
0,California,2017,39337785
0,California,2018,39437463
0,California,2019,39437610
0,California,2020,39521958
0,California,2021,39142565
0,California,2022,39142414
0,California,2023,39198693
0,California,2024,39431263
0,Colorado,1990,3307618
0,Colorado,1991,3387119
0,Colorado,1992,3495939
0,Colorado,1993,3613734
0,Colorado,1994,3724168
0,Colorado,1995,3826653
0,Colorado,1996,3919972
0,Colorado,1997,4018293
0,Colorado,1998,4116639
0,Colorado,1999,4226018
0,Colorado,2000,4326921
0,Colorado,2001,4425687
0,Colorado,2002,4490406
0,Colorado,2003,4528732
0,Colorado,2004,4575013
0,Colorado,2005,4631888
0,Colorado,2006,4720423
0,Colorado,2007,4803868
0,Colorado,2008,4889730
0,Colorado,2009,4972195
0,Colorado,2010,5047539
0,Colorado,2011,5121900
0,Colorado,2012,5193660
0,Colorado,2013,5270774
0,Colorado,2014,5352637
0,Colorado,2015,5454328
0,Colorado,2016,5543844
0,Colorado,2017,5617421
0,Colorado,2018,5697155
0,Colorado,2019,5758486
0,Colorado,2020,5787129
0,Colorado,2021,5814036
0,Colorado,2022,5850935
0,Colorado,2023,5901339
0,Colorado,2024,5957493
0,Connecticut,1990,3291967
0,Connecticut,1991,3302895
0,Connecticut,1992,3300712
0,Connecticut,1993,3309175
0,Connecticut,1994,3316121
0,Connecticut,1995,3324144
0,Connecticut,1996,3336685
0,Connecticut,1997,3349348
0,Connecticut,1998,3365352
0,Connecticut,1999,3386401
0,Connecticut,2000,3411777
0,Connecticut,2001,3432835
0,Connecticut,2002,3458749
0,Connecticut,2003,3484336
0,Connecticut,2004,3496094
0,Connecticut,2005,3506956
0,Connecticut,2006,3517460
0,Connecticut,2007,3527270
0,Connecticut,2008,3545579
0,Connecticut,2009,3561807
0,Connecticut,2010,3579173
0,Connecticut,2011,3588632
0,Connecticut,2012,3595211
0,Connecticut,2013,3595792
0,Connecticut,2014,3595697
0,Connecticut,2015,3588561
0,Connecticut,2016,3579830
0,Connecticut,2017,3575324
0,Connecticut,2018,3574561
0,Connecticut,2019,3566022
0,Connecticut,2020,3579918
0,Connecticut,2021,3606607
0,Connecticut,2022,3617925
0,Connecticut,2023,3643023
0,Connecticut,2024,3675069
0,Delaware,1990,669567
0,Delaware,1991,683080
0,Delaware,1992,694927
0,Delaware,1993,706378
0,Delaware,1994,717545
0,Delaware,1995,729735
0,Delaware,1996,740978
0,Delaware,1997,751487
0,Delaware,1998,763335
0,Delaware,1999,774990
0,Delaware,2000,786373
0,Delaware,2001,795699
