Countyfips;StateCode;State;Year;Race;Population
0;;U.S.;1990;White Alone;209366661.0
0;;U.S.;1991;White Alone;211606011.0
0;;U.S.;1992;White Alone;213945622.0
0;;U.S.;1993;White Alone;216187073.0
0;;U.S.;1994;White Alone;218304774.0
0;;U.S.;1995;White Alone;220384783.0
0;;U.S.;1996;White Alone;222420050.0
0;;U.S.;1997;White Alone;224553464.0
0;;U.S.;1998;White Alone;226648119.0
0;;U.S.;1999;White Alone;228687790.0
0;;U.S.;2000;White Alone;228530479.0
0;;U.S.;2001;White Alone;230049196.0
0;;U.S.;2002;White Alone;231446915.0
0;;U.S.;2003;White Alone;232717191.0
0;;U.S.;2004;White Alone;234120447.0
0;;U.S.;2005;White Alone;235491577.0
0;;U.S.;2006;White Alone;236954818.0
0;;U.S.;2007;White Alone;238378087.0
0;;U.S.;2008;White Alone;239783014.0
0;;U.S.;2009;White Alone;241034399.0
0;;U.S.;2010;White Alone;242228437.0
0;;U.S.;2011;White Alone;243254994.0
0;;U.S.;2012;White Alone;244285201.0
0;;U.S.;2013;White Alone;245205423.0
0;;U.S.;2014;White Alone;246211962.0
0;;U.S.;2015;White Alone;247206396.0
0;;U.S.;2016;White Alone;248203472.0
0;;U.S.;2017;White Alone;248992525.0
0;;U.S.;2018;White Alone;249604563.0
0;;U.S.;2019;White Alone;250065098.0
0;;U.S.;2020;White Alone;251705938.0
0;;U.S.;2021;White Alone;251515682.0
0;;U.S.;2022;White Alone;251993983.0
0;;U.S.;2023;White Alone;253005388.0
0;;U.S.;2024;White Alone;254281598.0
0;;U.S.;1990;Black Alone;30648345.0
0;;U.S.;1991;Black Alone;31290743.0
0;;U.S.;1992;Black Alone;31979982.0
0;;U.S.;1993;Black Alone;32634735.0
0;;U.S.;1994;Black Alone;33258981.0
0;;U.S.;1995;Black Alone;33847306.0
0;;U.S.;1996;Black Alone;34415478.0
0;;U.S.;1997;Black Alone;35007679.0
0;;U.S.;1998;Black Alone;35594140.0
0;;U.S.;1999;Black Alone;36173121.0
0;;U.S.;2000;Black Alone;35814706.0
0;;U.S.;2001;Black Alone;36263029.0
0;;U.S.;2002;Black Alone;36684650.0
0;;U.S.;2003;Black Alone;37066096.0
0;;U.S.;2004;Black Alone;37510582.0
0;;U.S.;2005;Black Alone;37961688.0
0;;U.S.;2006;Black Alone;38443048.0
0;;U.S.;2007;Black Alone;38935533.0
0;;U.S.;2008;Black Alone;39429414.0
0;;U.S.;2009;Black Alone;39902270.0
0;;U.S.;2010;Black Alone;40358477.0
0;;U.S.;2011;Black Alone;40798772.0
0;;U.S.;2012;Black Alone;41252211.0
0;;U.S.;2013;Black Alone;41690498.0
0;;U.S.;2014;Black Alone;42140856.0
0;;U.S.;2015;Black Alone;42595215.0
0;;U.S.;2016;Black Alone;43041456.0
0;;U.S.;2017;Black Alone;43465421.0
0;;U.S.;2018;Black Alone;43857361.0
0;;U.S.;2019;Black Alone;44224356.0
0;;U.S.;2020;Black Alone;44911745.0
0;;U.S.;2021;Black Alone;45103997.0
0;;U.S.;2022;Black Alone;45503665.0
0;;U.S.;2023;Black Alone;46021542.0
0;;U.S.;2024;Black Alone;46608846.0
0;;U.S.;1990;American Indian or Alaskan Native;2058726.0
0;;U.S.;1991;American Indian or Alaskan Native;2126968.0
0;;U.S.;1992;American Indian or Alaskan Native;2202176.0
0;;U.S.;1993;American Indian or Alaskan Native;2282052.0
0;;U.S.;1994;American Indian or Alaskan Native;2361078.0
0;;U.S.;1995;American Indian or Alaskan Native;2441752.0
0;;U.S.;1996;American Indian or Alaskan Native;2534873.0
0;;U.S.;1997;American Indian or Alaskan Native;2626475.0
0;;U.S.;1998;American Indian or Alaskan Native;2726036.0
0;;U.S.;1999;American Indian or Alaskan Native;2832761.0
0;;U.S.;2000;American Indian or Alaskan Native;2684491.0
0;;U.S.;2001;American Indian or Alaskan Native;2769731.0
0;;U.S.;2002;American Indian or Alaskan Native;2857113.0
0;;U.S.;2003;American Indian or Alaskan Native;2947575.0
0;;U.S.;2004;American Indian or Alaskan Native;3044517.0
