StateCode;State;Year;Race;Population
AL;Alabama;1990;White;2987764
AL;Alabama;1991;White;3018779
AL;Alabama;1992;White;3051680
AL;Alabama;1993;White;3088449
AL;Alabama;1994;White;3114389
AL;Alabama;1995;White;3134093
AL;Alabama;1996;White;3154959
AL;Alabama;1997;White;3174843
AL;Alabama;1998;White;3198040
AL;Alabama;1999;White;3211308
AL;Alabama;2000;White;3196875
AL;Alabama;2001;White;3201387
AL;Alabama;2002;White;3204279
AL;Alabama;2003;White;3215079
AL;Alabama;2004;White;3227772
AL;Alabama;2005;White;3249443
AL;Alabama;2006;White;3283056
AL;Alabama;2007;White;3308005
AL;Alabama;2008;White;3332141
AL;Alabama;2009;White;3353244
AL;Alabama;2010;White;3365601
AL;Alabama;2011;White;3369470
AL;Alabama;2012;White;3371405
AL;Alabama;2013;White;3372664
AL;Alabama;2014;White;3373933
AL;Alabama;2015;White;3373069
AL;Alabama;2016;White;3375201
AL;Alabama;2017;White;3377213
AL;Alabama;2018;White;3382325
AL;Alabama;2019;White;3390485
AL;Alabama;2020;White;3473188
AL;Alabama;2021;White;3481897
AL;Alabama;2022;White;3496988
AL;Alabama;2023;White;3523230
AL;Alabama;2024;White;3545537
AK;Alaska;1990;White;423276
AK;Alaska;1991;White;436361
AK;Alaska;1992;White;449292
AK;Alaska;1993;White;454995
AK;Alaska;1994;White;456674
AK;Alaska;1995;White;456965
AK;Alaska;1996;White;457769
AK;Alaska;1997;White;457908
AK;Alaska;1998;White;460556
AK;Alaska;1999;White;462052
AK;Alaska;2000;White;446506
AK;Alaska;2001;White;448602
AK;Alaska;2002;White;452784
AK;Alaska;2003;White;454912
AK;Alaska;2004;White;460845
AK;Alaska;2005;White;464201
AK;Alaska;2006;White;468452
AK;Alaska;2007;White;469996
AK;Alaska;2008;White;472582
AK;Alaska;2009;White;477369
AK;Alaska;2010;White;485929
AK;Alaska;2011;White;489253
AK;Alaska;2012;White;492463
AK;Alaska;2013;White;494334
AK;Alaska;2014;White;491682
AK;Alaska;2015;White;490194
AK;Alaska;2016;White;490043
AK;Alaska;2017;White;485311
AK;Alaska;2018;White;480179
AK;Alaska;2019;White;476519
AK;Alaska;2020;White;473610
AK;Alaska;2021;White;473093
AK;Alaska;2022;White;472012
AK;Alaska;2023;White;471949
AK;Alaska;2024;White;471980
AZ;Arizona;1990;White;3293186
AZ;Arizona;1991;White;3380441
AZ;Arizona;1992;White;3490693
AZ;Arizona;1993;White;3620665
AZ;Arizona;1994;White;3778735
AZ;Arizona;1995;White;3941788
AZ;Arizona;1996;White;4075957
AZ;Arizona;1997;White;4207817
AZ;Arizona;1998;White;4337508
AZ;Arizona;1999;White;4460582
AZ;Arizona;2000;White;4542461
AZ;Arizona;2001;White;4629736
AZ;Arizona;2002;White;4723484
AZ;Arizona;2003;White;4808335
AZ;Arizona;2004;White;4915749
AZ;Arizona;2005;White;5057542
AZ;Arizona;2006;White;5196133
AZ;Arizona;2007;White;5290642
AZ;Arizona;2008;White;5361814
AZ;Arizona;2009;White;5391934
AZ;Arizona;2010;White;5428205
AZ;Arizona;2011;White;5466291
AZ;Arizona;2012;White;5518374
AZ;Arizona;2013;White;5565999
AZ;Arizona;2014;White;5630353
AZ;Arizona;2015;White;5697673
AZ;Arizona;2016;White;5771056
AZ;Arizona;2017;White;5841128
AZ;Arizona;2018;White;5923424
AZ;Arizona;2019;White;6013191
AZ;Arizona;2020;White;5905101
AZ;Arizona;2021;White;5965120
AZ;Arizona;2022;White;6026817
AZ;Arizona;2023;White;6077886
AZ;Arizona;2024;White;6137861
AR;Arkansas;1990;White;1956611
AR;Arkansas;1991;White;1977662
AR;Arkansas;1992;White;2002832
AR;Arkansas;1993;White;2034508
AR;Arkansas;1994;White;2066260
AR;Arkansas;1995;White;2099481
