Countyfips;StateCode;State;Year;Race;Population
0;;U.S.;1990;White Alone;209366661
0;;U.S.;1991;White Alone;211606011
0;;U.S.;1992;White Alone;213945622
0;;U.S.;1993;White Alone;216187073
0;;U.S.;1994;White Alone;218304774
0;;U.S.;1995;White Alone;220384783
0;;U.S.;1996;White Alone;222420050
0;;U.S.;1997;White Alone;224553464
0;;U.S.;1998;White Alone;226648119
0;;U.S.;1999;White Alone;228687790
0;;U.S.;2000;White Alone;228530479
0;;U.S.;2001;White Alone;230049196
0;;U.S.;2002;White Alone;231446915
0;;U.S.;2003;White Alone;232717191
0;;U.S.;2004;White Alone;234120447
0;;U.S.;2005;White Alone;235491577
0;;U.S.;2006;White Alone;236954818
0;;U.S.;2007;White Alone;238378087
0;;U.S.;2008;White Alone;239783014
0;;U.S.;2009;White Alone;241034399
0;;U.S.;2010;White Alone;242228437
0;;U.S.;2011;White Alone;243254994
0;;U.S.;2012;White Alone;244285201
0;;U.S.;2013;White Alone;245205423
0;;U.S.;2014;White Alone;246211962
0;;U.S.;2015;White Alone;247206396
0;;U.S.;2016;White Alone;248203472
0;;U.S.;2017;White Alone;248992525
0;;U.S.;2018;White Alone;249604563
0;;U.S.;2019;White Alone;250065098
0;;U.S.;2020;White Alone;251705938
0;;U.S.;2021;White Alone;251515682
0;;U.S.;2022;White Alone;251993983
0;;U.S.;2023;White Alone;253005388
0;;U.S.;2024;White Alone;254281598
0;AL;Alabama;1990;White Alone;2987764
0;AL;Alabama;1991;White Alone;3018779
0;AL;Alabama;1992;White Alone;3051680
0;AL;Alabama;1993;White Alone;3088449
0;AL;Alabama;1994;White Alone;3114389
0;AL;Alabama;1995;White Alone;3134093
0;AL;Alabama;1996;White Alone;3154959
0;AL;Alabama;1997;White Alone;3174843
0;AL;Alabama;1998;White Alone;3198040
0;AL;Alabama;1999;White Alone;3211308
0;AL;Alabama;2000;White Alone;3196875
0;AL;Alabama;2001;White Alone;3201387
0;AL;Alabama;2002;White Alone;3204279
0;AL;Alabama;2003;White Alone;3215079
0;AL;Alabama;2004;White Alone;3227772
0;AL;Alabama;2005;White Alone;3249443
0;AL;Alabama;2006;White Alone;3283056
0;AL;Alabama;2007;White Alone;3308005
0;AL;Alabama;2008;White Alone;3332141
0;AL;Alabama;2009;White Alone;3353244
0;AL;Alabama;2010;White Alone;3365601
0;AL;Alabama;2011;White Alone;3369470
0;AL;Alabama;2012;White Alone;3371405
0;AL;Alabama;2013;White Alone;3372664
0;AL;Alabama;2014;White Alone;3373933
0;AL;Alabama;2015;White Alone;3373069
0;AL;Alabama;2016;White Alone;3375201
0;AL;Alabama;2017;White Alone;3377213
0;AL;Alabama;2018;White Alone;3382325
0;AL;Alabama;2019;White Alone;3390485
0;AL;Alabama;2020;White Alone;3473188
0;AL;Alabama;2021;White Alone;3481897
0;AL;Alabama;2022;White Alone;3496988
0;AL;Alabama;2023;White Alone;3523230
0;AL;Alabama;2024;White Alone;3545537
0;AK;Alaska;1990;White Alone;423276
0;AK;Alaska;1991;White Alone;436361
0;AK;Alaska;1992;White Alone;449292
0;AK;Alaska;1993;White Alone;454995
0;AK;Alaska;1994;White Alone;456674
0;AK;Alaska;1995;White Alone;456965
0;AK;Alaska;1996;White Alone;457769
0;AK;Alaska;1997;White Alone;457908
0;AK;Alaska;1998;White Alone;460556
0;AK;Alaska;1999;White Alone;462052
0;AK;Alaska;2000;White Alone;446506
0;AK;Alaska;2001;White Alone;448602
0;AK;Alaska;2002;White Alone;452784
0;AK;Alaska;2003;White Alone;454912
0;AK;Alaska;2004;White Alone;460845
0;AK;Alaska;2005;White Alone;464201
0;AK;Alaska;2006;White Alone;468452
0;AK;Alaska;2007;White Alone;469996
0;AK;Alaska;2008;White Alone;472582
0;AK;Alaska;2009;White Alone;477369
0;AK;Alaska;2010;White Alone;485929
0;AK;Alaska;2011;White Alone;489253
0;AK;Alaska;2012;White Alone;492463
0;AK;Alaska;2013;White Alone;494334
0;AK;Alaska;2014;White Alone;491682
0;AK;Alaska;2015;White Alone;490194
0;AK;Alaska;2016;White Alone;490043
0;AK;Alaska;2017;White Alone;485311
0;AK;Alaska;2018;White Alone;480179
0;AK;Alaska;2019;White Alone;476519
0;AK;Alaska;2020;White Alone;473610
0;AK;Alaska;2021;White Alone;473093
0;AK;Alaska;2022;White Alone;472012
0;AK;Alaska;2023;White Alone;471949
0;AK;Alaska;2024;White Alone;471980
0;AZ;Arizona;1990;White Alone;3293186
0;AZ;Arizona;1991;White Alone;3380441
0;AZ;Arizona;1992;White Alone;3490693
0;AZ;Arizona;1993;White Alone;3620665
0;AZ;Arizona;1994;White Alone;3778735
0;AZ;Arizona;1995;White Alone;3941788
0;AZ;Arizona;1996;White Alone;4075957
0;AZ;Arizona;1997;White Alone;4207817
0;AZ;Arizona;1998;White Alone;4337508
0;AZ;Arizona;1999;White Alone;4460582
0;AZ;Arizona;2000;White Alone;4542461
0;AZ;Arizona;2001;White Alone;4629736
0;AZ;Arizona;2002;White Alone;4723484
0;AZ;Arizona;2003;White Alone;4808335
0;AZ;Arizona;2004;White Alone;4915749
0;AZ;Arizona;2005;White Alone;5057542
0;AZ;Arizona;2006;White Alone;5196133
0;AZ;Arizona;2007;White Alone;5290642
0;AZ;Arizona;2008;White Alone;5361814
0;AZ;Arizona;2009;White Alone;5391934
0;AZ;Arizona;2010;White Alone;5428205
0;AZ;Arizona;2011;White Alone;5466291
0;AZ;Arizona;2012;White Alone;5518374
0;AZ;Arizona;2013;White Alone;5565999
0;AZ;Arizona;2014;White Alone;5630353
0;AZ;Arizona;2015;White Alone;5697673
0;AZ;Arizona;2016;White Alone;5771056
0;AZ;Arizona;2017;White Alone;5841128
0;AZ;Arizona;2018;White Alone;5923424
0;AZ;Arizona;2019;White Alone;6013191
0;AZ;Arizona;2020;White Alone;5905101
0;AZ;Arizona;2021;White Alone;5965120
0;AZ;Arizona;2022;White Alone;6026817
0;AZ;Arizona;2023;White Alone;6077886
0;AZ;Arizona;2024;White Alone;6137861
0;AR;Arkansas;1990;White Alone;1956611
0;AR;Arkansas;1991;White Alone;1977662
0;AR;Arkansas;1992;White Alone;2002832
0;AR;Arkansas;1993;White Alone;2034508
0;AR;Arkansas;1994;White Alone;2066260
0;AR;Arkansas;1995;White Alone;2099481
0;AR;Arkansas;1996;White Alone;2127070
0;AR;Arkansas;1997;White Alone;2149156
0;AR;Arkansas;1998;White Alone;2168119
0;AR;Arkansas;1999;White Alone;2187944
0;AR;Arkansas;2000;White Alone;2186443
0;AR;Arkansas;2001;White Alone;2193483
0;AR;Arkansas;2002;White Alone;2202027
0;AR;Arkansas;2003;White Alone;2214256
0;AR;Arkansas;2004;White Alone;2231084
0;AR;Arkansas;2005;White Alone;2253503
0;AR;Arkansas;2006;White Alone;2281831
0;AR;Arkansas;2007;White Alone;2301121
0;AR;Arkansas;2008;White Alone;2317769
0;AR;Arkansas;2009;White Alone;2331280
0;AR;Arkansas;2010;White Alone;2346352
0;AR;Arkansas;2011;White Alone;2357574
0;AR;Arkansas;2012;White Alone;2362125
0;AR;Arkansas;2013;White Alone;2363967
0;AR;Arkansas;2014;White Alone;2366231
0;AR;Arkansas;2015;White Alone;2369760
0;AR;Arkansas;2016;White Alone;2373398
0;AR;Arkansas;2017;White Alone;2378313
0;AR;Arkansas;2018;White Alone;2381131
0;AR;Arkansas;2019;White Alone;2384331
0;AR;Arkansas;2020;White Alone;2372588
0;AR;Arkansas;2021;White Alone;2379475
0;AR;Arkansas;2022;White Alone;2392201
0;AR;Arkansas;2023;White Alone;2405333
0;AR;Arkansas;2024;White Alone;2415105
0;CA;California;1990;White Alone;24354238
0;CA;California;1991;White Alone;24674660
0;CA;California;1992;White Alone;24987762
0;CA;California;1993;White Alone;25131240
0;CA;California;1994;White Alone;25214253
0;CA;California;1995;White Alone;25298010
0;CA;California;1996;White Alone;25484457
0;CA;California;1997;White Alone;25795077
0;CA;California;1998;White Alone;26141690
0;CA;California;1999;White Alone;26492434
0;CA;California;2000;White Alone;26421365
0;CA;California;2001;White Alone;26685881
0;CA;California;2002;White Alone;26874787
0;CA;California;2003;White Alone;27053595
0;CA;California;2004;White Alone;27181516
0;CA;California;2005;White Alone;27239976
0;CA;California;2006;White Alone;27242743
0;CA;California;2007;White Alone;27274909
0;CA;California;2008;White Alone;27402890
0;CA;California;2009;White Alone;27529082
0;CA;California;2010;White Alone;27665770
0;CA;California;2011;White Alone;27812396
0;CA;California;2012;White Alone;27952190
0;CA;California;2013;White Alone;28078052
0;CA;California;2014;White Alone;28209869
0;CA;California;2015;White Alone;28316294
0;CA;California;2016;White Alone;28376604
0;CA;California;2017;White Alone;28386645
0;CA;California;2018;White Alone;28344812
0;CA;California;2019;White Alone;28233838
0;CA;California;2020;White Alone;28174414
0;CA;California;2021;White Alone;27812160
0;CA;California;2022;White Alone;27649459
0;CA;California;2023;White Alone;27532477
0;CA;California;2024;White Alone;27538266
0;CO;Colorado;1990;White Alone;3077815
0;CO;Colorado;1991;White Alone;3147468
0;CO;Colorado;1992;White Alone;3243680
0;CO;Colorado;1993;White Alone;3347961
0;CO;Colorado;1994;White Alone;3446691
0;CO;Colorado;1995;White Alone;3537859
0;CO;Colorado;1996;White Alone;3619895
0;CO;Colorado;1997;White Alone;3705889
0;CO;Colorado;1998;White Alone;3788970
0;CO;Colorado;1999;White Alone;3882901
0;CO;Colorado;2000;White Alone;3924356
0;CO;Colorado;2001;White Alone;4003807
0;CO;Colorado;2002;White Alone;4052788
0;CO;Colorado;2003;White Alone;4080217
0;CO;Colorado;2004;White Alone;4110950
0;CO;Colorado;2005;White Alone;4153715
0;CO;Colorado;2006;White Alone;4222448
0;CO;Colorado;2007;White Alone;4287008
0;CO;Colorado;2008;White Alone;4351612
0;CO;Colorado;2009;White Alone;4411960
0;CO;Colorado;2010;White Alone;4464394
0;CO;Colorado;2011;White Alone;4522379
0;CO;Colorado;2012;White Alone;4576592
0;CO;Colorado;2013;White Alone;4634362
0;CO;Colorado;2014;White Alone;4696061
0;CO;Colorado;2015;White Alone;4773481
0;CO;Colorado;2016;White Alone;4841849
0;CO;Colorado;2017;White Alone;4896891
0;CO;Colorado;2018;White Alone;4955043
0;CO;Colorado;2019;White Alone;5000945
0;CO;Colorado;2020;White Alone;5016074
0;CO;Colorado;2021;White Alone;5026657
0;CO;Colorado;2022;White Alone;5041632
0;CO;Colorado;2023;White Alone;5063993
0;CO;Colorado;2024;White Alone;5088948
0;CT;Connecticut;1990;White Alone;2949149
0;CT;Connecticut;1991;White Alone;2947130
0;CT;Connecticut;1992;White Alone;2936159
0;CT;Connecticut;1993;White Alone;2933031
0;CT;Connecticut;1994;White Alone;2931497
0;CT;Connecticut;1995;White Alone;2930121
0;CT;Connecticut;1996;White Alone;2932966
0;CT;Connecticut;1997;White Alone;2934597
0;CT;Connecticut;1998;White Alone;2937632
0;CT;Connecticut;1999;White Alone;2944775
0;CT;Connecticut;2000;White Alone;2936355
0;CT;Connecticut;2001;White Alone;2943314
0;CT;Connecticut;2002;White Alone;2952581
0;CT;Connecticut;2003;White Alone;2961169
0;CT;Connecticut;2004;White Alone;2959756
0;CT;Connecticut;2005;White Alone;2956769
0;CT;Connecticut;2006;White Alone;2952473
