StateCode;State;Year;Population
AL;Alabama;1990;4050055
AL;Alabama;1991;4099156
AL;Alabama;1992;4154014
AL;Alabama;1993;4214202
AL;Alabama;1994;4260229
AL;Alabama;1995;4296800
AL;Alabama;1996;4331103
AL;Alabama;1997;4367935
AL;Alabama;1998;4404701
AL;Alabama;1999;4430141
AL;Alabama;2000;4452173
AL;Alabama;2001;4467634
AL;Alabama;2002;4480089
AL;Alabama;2003;4503491
AL;Alabama;2004;4530729
AL;Alabama;2005;4569805
AL;Alabama;2006;4628981
AL;Alabama;2007;4672840
AL;Alabama;2008;4718206
AL;Alabama;2009;4757938
AL;Alabama;2010;4785514
AL;Alabama;2011;4799642
AL;Alabama;2012;4816632
AL;Alabama;2013;4831586
AL;Alabama;2014;4843737
AL;Alabama;2015;4854803
AL;Alabama;2016;4866824
AL;Alabama;2017;4877989
AL;Alabama;2018;4891628
AL;Alabama;2019;4907965
AL;Alabama;2020;5033094
AL;Alabama;2021;5049196
AL;Alabama;2022;5076181
AL;Alabama;2023;5117673
AL;Alabama;2024;5157699
AK;Alaska;1990;553290
AK;Alaska;1991;570193
AK;Alaska;1992;588736
AK;Alaska;1993;599434
AK;Alaska;1994;603308
AK;Alaska;1995;604412
AK;Alaska;1996;608569
AK;Alaska;1997;612968
AK;Alaska;1998;619933
AK;Alaska;1999;624779
AK;Alaska;2000;627963
AK;Alaska;2001;633714
AK;Alaska;2002;642337
AK;Alaska;2003;648414
AK;Alaska;2004;659286
AK;Alaska;2005;666946
AK;Alaska;2006;675302
AK;Alaska;2007;680300
AK;Alaska;2008;687455
AK;Alaska;2009;698895
AK;Alaska;2010;713982
AK;Alaska;2011;722349
AK;Alaska;2012;730810
AK;Alaska;2013;737626
AK;Alaska;2014;737075
AK;Alaska;2015;738430
AK;Alaska;2016;742575
AK;Alaska;2017;740983
AK;Alaska;2018;736624
AK;Alaska;2019;733603
AK;Alaska;2020;733017
AK;Alaska;2021;734420
AK;Alaska;2022;734442
AK;Alaska;2023;736510
AK;Alaska;2024;740133
AZ;Arizona;1990;3684097
AZ;Arizona;1991;3788576
AZ;Arizona;1992;3915740
AZ;Arizona;1993;4065440
AZ;Arizona;1994;4245089
AZ;Arizona;1995;4432499
AZ;Arizona;1996;4586940
AZ;Arizona;1997;4736990
AZ;Arizona;1998;4883342
AZ;Arizona;1999;5023823
AZ;Arizona;2000;5160586
AZ;Arizona;2001;5273477
AZ;Arizona;2002;5396255
AZ;Arizona;2003;5510364
AZ;Arizona;2004;5652404
AZ;Arizona;2005;5839077
AZ;Arizona;2006;6029141
AZ;Arizona;2007;6167681
AZ;Arizona;2008;6280362
AZ;Arizona;2009;6343154
AZ;Arizona;2010;6407342
AZ;Arizona;2011;6473416
AZ;Arizona;2012;6556344
AZ;Arizona;2013;6634690
AZ;Arizona;2014;6732873
AZ;Arizona;2015;6832810
AZ;Arizona;2016;6944767
AZ;Arizona;2017;7048088
AZ;Arizona;2018;7164228
AZ;Arizona;2019;7291843
AZ;Arizona;2020;7187135
AZ;Arizona;2021;7274078
AZ;Arizona;2022;7377566
AZ;Arizona;2023;7473027
AZ;Arizona;2024;7582384
AR;Arkansas;1990;2356586
AR;Arkansas;1991;2383144
AR;Arkansas;1992;2415984
AR;Arkansas;1993;2456303
AR;Arkansas;1994;2494019
AR;Arkansas;1995;2535399
AR;Arkansas;1996;2572109
AR;Arkansas;1997;2601091
AR;Arkansas;1998;2626289
AR;Arkansas;1999;2651860
AR;Arkansas;2000;2678588
AR;Arkansas;2001;2691571
AR;Arkansas;2002;2705927
AR;Arkansas;2003;2724816
AR;Arkansas;2004;2749686
AR;Arkansas;2005;2781097
AR;Arkansas;2006;2821761
AR;Arkansas;2007;2848650
AR;Arkansas;2008;2874554
AR;Arkansas;2009;2896843
AR;Arkansas;2010;2921998
AR;Arkansas;2011;2941038
AR;Arkansas;2012;2952876
AR;Arkansas;2013;2960459
AR;Arkansas;2014;2968759
AR;Arkansas;2015;2979732
AR;Arkansas;2016;2991815
AR;Arkansas;2017;3003855
AR;Arkansas;2018;3012161
AR;Arkansas;2019;3020985
AR;Arkansas;2020;3014546
AR;Arkansas;2021;3026870
AR;Arkansas;2022;3047704
AR;Arkansas;2023;3069463
AR;Arkansas;2024;3088354
CA;California;1990;29959515
CA;California;1991;30470736
CA;California;1992;30974659
CA;California;1993;31274928
CA;California;1994;31484435
CA;California;1995;31696582
CA;California;1996;32018834
CA;California;1997;32486010
CA;California;1998;32987675
CA;California;1999;33499204
CA;California;2000;33987977
CA;California;2001;34479458
CA;California;2002;34871843
CA;California;2003;35253159
CA;California;2004;35574576
CA;California;2005;35827943
CA;California;2006;36021202
CA;California;2007;36250311
CA;California;2008;36604337
CA;California;2009;36961229
CA;California;2010;37319550
CA;California;2011;37636311
CA;California;2012;37944551
CA;California;2013;38253768
CA;California;2014;38586706
CA;California;2015;38904296
CA;California;2016;39149186
CA;California;2017;39337785
CA;California;2018;39437463
CA;California;2019;39437610
CA;California;2020;39521958
CA;California;2021;39142565
CA;California;2022;39142414
CA;California;2023;39198693
CA;California;2024;39431263
CO;Colorado;1990;3307618
CO;Colorado;1991;3387119
CO;Colorado;1992;3495939
CO;Colorado;1993;3613734
CO;Colorado;1994;3724168
CO;Colorado;1995;3826653
CO;Colorado;1996;3919972
CO;Colorado;1997;4018293
CO;Colorado;1998;4116639
CO;Colorado;1999;4226018
CO;Colorado;2000;4326921
CO;Colorado;2001;4425687
CO;Colorado;2002;4490406
CO;Colorado;2003;4528732
CO;Colorado;2004;4575013
CO;Colorado;2005;4631888
CO;Colorado;2006;4720423
CO;Colorado;2007;4803868
CO;Colorado;2008;4889730
CO;Colorado;2009;4972195
CO;Colorado;2010;5047539
CO;Colorado;2011;5121900
CO;Colorado;2012;5193660
CO;Colorado;2013;5270774
CO;Colorado;2014;5352637
CO;Colorado;2015;5454328
CO;Colorado;2016;5543844
CO;Colorado;2017;5617421
CO;Colorado;2018;5697155
CO;Colorado;2019;5758486
CO;Colorado;2020;5787129
CO;Colorado;2021;5814036
CO;Colorado;2022;5850935
CO;Colorado;2023;5901339
CO;Colorado;2024;5957493
CT;Connecticut;1990;3291967
CT;Connecticut;1991;3302895
CT;Connecticut;1992;3300712
CT;Connecticut;1993;3309175
CT;Connecticut;1994;3316121
CT;Connecticut;1995;3324144
CT;Connecticut;1996;3336685
CT;Connecticut;1997;3349348
CT;Connecticut;1998;3365352
CT;Connecticut;1999;3386401
CT;Connecticut;2000;3411777
CT;Connecticut;2001;3432835
CT;Connecticut;2002;3458749
CT;Connecticut;2003;3484336
CT;Connecticut;2004;3496094
CT;Connecticut;2005;3506956
CT;Connecticut;2006;3517460
CT;Connecticut;2007;3527270
CT;Connecticut;2008;3545579
CT;Connecticut;2009;3561807
CT;Connecticut;2010;3579173
CT;Connecticut;2011;3588632
CT;Connecticut;2012;3595211
CT;Connecticut;2013;3595792
CT;Connecticut;2014;3595697
CT;Connecticut;2015;3588561
CT;Connecticut;2016;3579830
CT;Connecticut;2017;3575324
CT;Connecticut;2018;3574561
CT;Connecticut;2019;3566022
CT;Connecticut;2020;3579918
CT;Connecticut;2021;3606607
CT;Connecticut;2022;3617925
CT;Connecticut;2023;3643023
CT;Connecticut;2024;3675069
DE;Delaware;1990;669567
DE;Delaware;1991;683080
DE;Delaware;1992;694927
DE;Delaware;1993;706378
DE;Delaware;1994;717545
DE;Delaware;1995;729735
DE;Delaware;1996;740978
DE;Delaware;1997;751487
DE;Delaware;1998;763335
DE;Delaware;1999;774990
DE;Delaware;2000;786373
DE;Delaware;2001;795699
DE;Delaware;2002;806169
DE;Delaware;2003;818003
DE;Delaware;2004;830803
DE;Delaware;2005;845150
DE;Delaware;2006;859268
DE;Delaware;2007;871749
DE;Delaware;2008;883874
DE;Delaware;2009;891730
DE;Delaware;2010;899647
DE;Delaware;2011;907590
DE;Delaware;2012;915518
DE;Delaware;2013;924062
DE;Delaware;2014;933131
DE;Delaware;2015;942065
DE;Delaware;2016;949989
DE;Delaware;2017;957942
DE;Delaware;2018;966985
DE;Delaware;2019;976668
DE;Delaware;2020;991928
DE;Delaware;2021;1005062
DE;Delaware;2022;1020625
DE;Delaware;2023;1036423
DE;Delaware;2024;1051917
DC;District of Columbia;1990;605321
DC;District of Columbia;1991;600870
DC;District of Columbia;1992;597567
DC;District of Columbia;1993;595302
DC;District of Columbia;1994;589240
DC;District of Columbia;1995;580519
DC;District of Columbia;1996;572379
DC;District of Columbia;1997;567739
DC;District of Columbia;1998;565232
DC;District of Columbia;1999;570220
DC;District of Columbia;2000;572046
DC;District of Columbia;2001;574504
DC;District of Columbia;2002;573158
DC;District of Columbia;2003;568502
DC;District of Columbia;2004;567754
DC;District of Columbia;2005;567136
DC;District of Columbia;2006;570681
DC;District of Columbia;2007;574404
DC;District of Columbia;2008;580236
DC;District of Columbia;2009;592228
DC;District of Columbia;2010;605282
DC;District of Columbia;2011;620290
DC;District of Columbia;2012;635737
DC;District of Columbia;2013;651559
DC;District of Columbia;2014;663603
DC;District of Columbia;2015;677014
DC;District of Columbia;2016;687576
DC;District of Columbia;2017;697079
DC;District of Columbia;2018;704147
DC;District of Columbia;2019;708253
DC;District of Columbia;2020;670917
DC;District of Columbia;2021;669256
DC;District of Columbia;2022;676725
DC;District of Columbia;2023;687324
DC;District of Columbia;2024;702250
FL;Florida;1990;13033307
FL;Florida;1991;13369798
FL;Florida;1992;13650553
FL;Florida;1993;13927185
FL;Florida;1994;14239444
FL;Florida;1995;14537875
FL;Florida;1996;14853360
FL;Florida;1997;15186304
FL;Florida;1998;15486559
FL;Florida;1999;15759421
FL;Florida;2000;16047515
FL;Florida;2001;16356966
FL;Florida;2002;16689370
FL;Florida;2003;17004085
FL;Florida;2004;17415318
FL;Florida;2005;17842038
FL;Florida;2006;18166990
FL;Florida;2007;18367842
FL;Florida;2008;18527305
FL;Florida;2009;18652644
FL;Florida;2010;18846143
FL;Florida;2011;19055607
FL;Florida;2012;19302016
FL;Florida;2013;19551678
FL;Florida;2014;19853880
FL;Florida;2015;20219111
FL;Florida;2016;20627237
FL;Florida;2017;20977089
FL;Florida;2018;21254926
FL;Florida;2019;21492056
FL;Florida;2020;21592035
FL;Florida;2021;21831949
FL;Florida;2022;22379312
FL;Florida;2023;22904868
FL;Florida;2024;23372215
GA;Georgia;1990;6512602
GA;Georgia;1991;6653005
GA;Georgia;1992;6817203
GA;Georgia;1993;6978240
GA;Georgia;1994;7157165
GA;Georgia;1995;7328413
GA;Georgia;1996;7501069
GA;Georgia;1997;7685099
GA;Georgia;1998;7863536
GA;Georgia;1999;8045965
GA;Georgia;2000;8227303
GA;Georgia;2001;8377038
GA;Georgia;2002;8508256
GA;Georgia;2003;8622793
GA;Georgia;2004;8769252
GA;Georgia;2005;8925922
GA;Georgia;2006;9155813
GA;Georgia;2007;9349988
GA;Georgia;2008;9504843
GA;Georgia;2009;9620846
GA;Georgia;2010;9712209
GA;Georgia;2011;9803630
GA;Georgia;2012;9903580
GA;Georgia;2013;9975592
GA;Georgia;2014;10071204
GA;Georgia;2015;10183353
GA;Georgia;2016;10308442
GA;Georgia;2017;10417031
GA;Georgia;2018;10519389
GA;Georgia;2019;10628020
GA;Georgia;2020;10732888
GA;Georgia;2021;10792060
GA;Georgia;2022;10931805
GA;Georgia;2023;11064432
GA;Georgia;2024;11180878
HI;Hawaii;1990;1113491
HI;Hawaii;1991;1136754
HI;Hawaii;1992;1158613
HI;Hawaii;1993;1172838
HI;Hawaii;1994;1187536
HI;Hawaii;1995;1196854
HI;Hawaii;1996;1203755
HI;Hawaii;1997;1211640
HI;Hawaii;1998;1215233
HI;Hawaii;1999;1210300
HI;Hawaii;2000;1213519
HI;Hawaii;2001;1225948
HI;Hawaii;2002;1239613
HI;Hawaii;2003;1251154
HI;Hawaii;2004;1273569
HI;Hawaii;2005;1292729
HI;Hawaii;2006;1309731
HI;Hawaii;2007;1315675
HI;Hawaii;2008;1332213
HI;Hawaii;2009;1346717
HI;Hawaii;2010;1364004
HI;Hawaii;2011;1379562
HI;Hawaii;2012;1395199
HI;Hawaii;2013;1408822
HI;Hawaii;2014;1415335
HI;Hawaii;2015;1422999
HI;Hawaii;2016;1428885
HI;Hawaii;2017;1425763
HI;Hawaii;2018;1423102
HI;Hawaii;2019;1415615
HI;Hawaii;2020;1451252
HI;Hawaii;2021;1447029
HI;Hawaii;2022;1440359
HI;Hawaii;2023;1441387
HI;Hawaii;2024;1446146
ID;Idaho;1990;1012384
ID;Idaho;1991;1041316
ID;Idaho;1992;1071685
ID;Idaho;1993;1108768
ID;Idaho;1994;1145140
ID;Idaho;1995;1177322
ID;Idaho;1996;1203083
ID;Idaho;1997;1228520
ID;Idaho;1998;1252330
ID;Idaho;1999;1275674
ID;Idaho;2000;1299430
ID;Idaho;2001;1319962
ID;Idaho;2002;1340372
ID;Idaho;2003;1363380
ID;Idaho;2004;1391802
ID;Idaho;2005;1428241
ID;Idaho;2006;1468669
ID;Idaho;2007;1505105
ID;Idaho;2008;1534320
ID;Idaho;2009;1554439
ID;Idaho;2010;1570819
ID;Idaho;2011;1584272
ID;Idaho;2012;1595910
ID;Idaho;2013;1612053
ID;Idaho;2014;1632248
ID;Idaho;2015;1652495
ID;Idaho;2016;1684036
ID;Idaho;2017;1719745
ID;Idaho;2018;1752074
ID;Idaho;2019;1789060
ID;Idaho;2020;1849415
ID;Idaho;2021;1904848
ID;Idaho;2022;1944299
ID;Idaho;2023;1971122
ID;Idaho;2024;2001619
IL;Illinois;1990;11453316
IL;Illinois;1991;11568964
IL;Illinois;1992;11694184
IL;Illinois;1993;11809579
IL;Illinois;1994;11912585
IL;Illinois;1995;12008437
IL;Illinois;1996;12101997
IL;Illinois;1997;12185715
IL;Illinois;1998;12271847
IL;Illinois;1999;12359020
IL;Illinois;2000;12434161
IL;Illinois;2001;12488445
IL;Illinois;2002;12525556
IL;Illinois;2003;12556006
IL;Illinois;2004;12589773
IL;Illinois;2005;12609903
IL;Illinois;2006;12643955
IL;Illinois;2007;12695866
IL;Illinois;2008;12747038
IL;Illinois;2009;12796778
IL;Illinois;2010;12840545
IL;Illinois;2011;12867783
IL;Illinois;2012;12883029
IL;Illinois;2013;12895778
IL;Illinois;2014;12885092
IL;Illinois;2015;12859585
IL;Illinois;2016;12821709
IL;Illinois;2017;12779893
IL;Illinois;2018;12724685
IL;Illinois;2019;12667017
IL;Illinois;2020;12799088
IL;Illinois;2021;12700641
IL;Illinois;2022;12621821
