Countyfips;StateCode;State;Year;Total Population
0;;U.S.;1990;249622814
0;;U.S.;1991;252980941
0;;U.S.;1992;256514224
0;;U.S.;1993;259918588
0;;U.S.;1994;263125821
0;;U.S.;1995;266278393
0;;U.S.;1996;269394284
0;;U.S.;1997;272646925
0;;U.S.;1998;275854104
0;;U.S.;1999;279040168
0;;U.S.;2000;282162411
0;;U.S.;2001;284968955
0;;U.S.;2002;287625193
0;;U.S.;2003;290107933
0;;U.S.;2004;292805298
0;;U.S.;2005;295516599
0;;U.S.;2006;298379912
0;;U.S.;2007;301231207
0;;U.S.;2008;304093966
0;;U.S.;2009;306771529
0;;U.S.;2010;309327143
0;;U.S.;2011;311583481
0;;U.S.;2012;313877662
0;;U.S.;2013;316059947
0;;U.S.;2014;318386329
0;;U.S.;2015;320738994
0;;U.S.;2016;323071755
0;;U.S.;2017;325122128
0;;U.S.;2018;326838199
0;;U.S.;2019;328329953
0;;U.S.;2020;331577720
0;;U.S.;2021;332099760
0;;U.S.;2022;334017321
0;;U.S.;2023;336806231
0;;U.S.;2024;340110988
0;AL;Alabama;1990;4050055
0;AL;Alabama;1991;4099156
0;AL;Alabama;1992;4154014
0;AL;Alabama;1993;4214202
0;AL;Alabama;1994;4260229
0;AL;Alabama;1995;4296800
0;AL;Alabama;1996;4331103
0;AL;Alabama;1997;4367935
0;AL;Alabama;1998;4404701
0;AL;Alabama;1999;4430141
0;AL;Alabama;2000;4452173
0;AL;Alabama;2001;4467634
0;AL;Alabama;2002;4480089
0;AL;Alabama;2003;4503491
0;AL;Alabama;2004;4530729
0;AL;Alabama;2005;4569805
0;AL;Alabama;2006;4628981
0;AL;Alabama;2007;4672840
0;AL;Alabama;2008;4718206
0;AL;Alabama;2009;4757938
0;AL;Alabama;2010;4785514
0;AL;Alabama;2011;4799642
0;AL;Alabama;2012;4816632
0;AL;Alabama;2013;4831586
0;AL;Alabama;2014;4843737
0;AL;Alabama;2015;4854803
0;AL;Alabama;2016;4866824
0;AL;Alabama;2017;4877989
0;AL;Alabama;2018;4891628
0;AL;Alabama;2019;4907965
0;AL;Alabama;2020;5033094
0;AL;Alabama;2021;5049196
0;AL;Alabama;2022;5076181
0;AL;Alabama;2023;5117673
0;AL;Alabama;2024;5157699
0;AK;Alaska;1990;553290
0;AK;Alaska;1991;570193
0;AK;Alaska;1992;588736
0;AK;Alaska;1993;599434
0;AK;Alaska;1994;603308
0;AK;Alaska;1995;604412
0;AK;Alaska;1996;608569
0;AK;Alaska;1997;612968
0;AK;Alaska;1998;619933
0;AK;Alaska;1999;624779
0;AK;Alaska;2000;627963
0;AK;Alaska;2001;633714
0;AK;Alaska;2002;642337
0;AK;Alaska;2003;648414
0;AK;Alaska;2004;659286
0;AK;Alaska;2005;666946
0;AK;Alaska;2006;675302
0;AK;Alaska;2007;680300
0;AK;Alaska;2008;687455
0;AK;Alaska;2009;698895
0;AK;Alaska;2010;713982
0;AK;Alaska;2011;722349
0;AK;Alaska;2012;730810
0;AK;Alaska;2013;737626
0;AK;Alaska;2014;737075
0;AK;Alaska;2015;738430
0;AK;Alaska;2016;742575
0;AK;Alaska;2017;740983
0;AK;Alaska;2018;736624
0;AK;Alaska;2019;733603
0;AK;Alaska;2020;733017
0;AK;Alaska;2021;734420
0;AK;Alaska;2022;734442
0;AK;Alaska;2023;736510
0;AK;Alaska;2024;740133
0;AZ;Arizona;1990;3684097
0;AZ;Arizona;1991;3788576
0;AZ;Arizona;1992;3915740
0;AZ;Arizona;1993;4065440
0;AZ;Arizona;1994;4245089
0;AZ;Arizona;1995;4432499
0;AZ;Arizona;1996;4586940
0;AZ;Arizona;1997;4736990
0;AZ;Arizona;1998;4883342
0;AZ;Arizona;1999;5023823
0;AZ;Arizona;2000;5160586
0;AZ;Arizona;2001;5273477
0;AZ;Arizona;2002;5396255
0;AZ;Arizona;2003;5510364
0;AZ;Arizona;2004;5652404
0;AZ;Arizona;2005;5839077
0;AZ;Arizona;2006;6029141
0;AZ;Arizona;2007;6167681
0;AZ;Arizona;2008;6280362
0;AZ;Arizona;2009;6343154
0;AZ;Arizona;2010;6407342
0;AZ;Arizona;2011;6473416
0;AZ;Arizona;2012;6556344
0;AZ;Arizona;2013;6634690
0;AZ;Arizona;2014;6732873
0;AZ;Arizona;2015;6832810
0;AZ;Arizona;2016;6944767
0;AZ;Arizona;2017;7048088
0;AZ;Arizona;2018;7164228
0;AZ;Arizona;2019;7291843
0;AZ;Arizona;2020;7187135
0;AZ;Arizona;2021;7274078
0;AZ;Arizona;2022;7377566
0;AZ;Arizona;2023;7473027
0;AZ;Arizona;2024;7582384
0;AR;Arkansas;1990;2356586
0;AR;Arkansas;1991;2383144
0;AR;Arkansas;1992;2415984
0;AR;Arkansas;1993;2456303
0;AR;Arkansas;1994;2494019
0;AR;Arkansas;1995;2535399
0;AR;Arkansas;1996;2572109
0;AR;Arkansas;1997;2601091
0;AR;Arkansas;1998;2626289
0;AR;Arkansas;1999;2651860
0;AR;Arkansas;2000;2678588
0;AR;Arkansas;2001;2691571
0;AR;Arkansas;2002;2705927
0;AR;Arkansas;2003;2724816
0;AR;Arkansas;2004;2749686
0;AR;Arkansas;2005;2781097
0;AR;Arkansas;2006;2821761
0;AR;Arkansas;2007;2848650
0;AR;Arkansas;2008;2874554
0;AR;Arkansas;2009;2896843
0;AR;Arkansas;2010;2921998
0;AR;Arkansas;2011;2941038
0;AR;Arkansas;2012;2952876
0;AR;Arkansas;2013;2960459
0;AR;Arkansas;2014;2968759
0;AR;Arkansas;2015;2979732
0;AR;Arkansas;2016;2991815
0;AR;Arkansas;2017;3003855
0;AR;Arkansas;2018;3012161
0;AR;Arkansas;2019;3020985
0;AR;Arkansas;2020;3014546
0;AR;Arkansas;2021;3026870
0;AR;Arkansas;2022;3047704
0;AR;Arkansas;2023;3069463
0;AR;Arkansas;2024;3088354
0;CA;California;1990;29959515
0;CA;California;1991;30470736
0;CA;California;1992;30974659
0;CA;California;1993;31274928
0;CA;California;1994;31484435
0;CA;California;1995;31696582
0;CA;California;1996;32018834
0;CA;California;1997;32486010
0;CA;California;1998;32987675
0;CA;California;1999;33499204
0;CA;California;2000;33987977
0;CA;California;2001;34479458
0;CA;California;2002;34871843
0;CA;California;2003;35253159
0;CA;California;2004;35574576
0;CA;California;2005;35827943
0;CA;California;2006;36021202
0;CA;California;2007;36250311
0;CA;California;2008;36604337
0;CA;California;2009;36961229
0;CA;California;2010;37319550
0;CA;California;2011;37636311
0;CA;California;2012;37944551
0;CA;California;2013;38253768
0;CA;California;2014;38586706
0;CA;California;2015;38904296
0;CA;California;2016;39149186
0;CA;California;2017;39337785
0;CA;California;2018;39437463
0;CA;California;2019;39437610
0;CA;California;2020;39521958
0;CA;California;2021;39142565
0;CA;California;2022;39142414
0;CA;California;2023;39198693
0;CA;California;2024;39431263
0;CO;Colorado;1990;3307618
0;CO;Colorado;1991;3387119
0;CO;Colorado;1992;3495939
0;CO;Colorado;1993;3613734
0;CO;Colorado;1994;3724168
0;CO;Colorado;1995;3826653
0;CO;Colorado;1996;3919972
0;CO;Colorado;1997;4018293
0;CO;Colorado;1998;4116639
0;CO;Colorado;1999;4226018
0;CO;Colorado;2000;4326921
0;CO;Colorado;2001;4425687
0;CO;Colorado;2002;4490406
0;CO;Colorado;2003;4528732
0;CO;Colorado;2004;4575013
0;CO;Colorado;2005;4631888
0;CO;Colorado;2006;4720423
0;CO;Colorado;2007;4803868
0;CO;Colorado;2008;4889730
0;CO;Colorado;2009;4972195
0;CO;Colorado;2010;5047539
0;CO;Colorado;2011;5121900
0;CO;Colorado;2012;5193660
0;CO;Colorado;2013;5270774
0;CO;Colorado;2014;5352637
0;CO;Colorado;2015;5454328
0;CO;Colorado;2016;5543844
0;CO;Colorado;2017;5617421
0;CO;Colorado;2018;5697155
0;CO;Colorado;2019;5758486
0;CO;Colorado;2020;5787129
0;CO;Colorado;2021;5814036
0;CO;Colorado;2022;5850935
0;CO;Colorado;2023;5901339
